##########################
# Data rrec from the subroutine written by D. A. Verner
# that calculates rates of radiative recombination for ions
# with the following fits:
# ions of C, N, O, Ne - Pequignot et al. 1991, A&A, 251, 680,
#    refitted by Verner & Ferland formula to ensure correct asymptotes
# Fe XVII-XXIII - Arnaud & Raymond, 1992, ApJ, 398, 394
# Fe I-XV - refitted by Verner & Ferland formula to ensure correct asymptotes
# Other ions of Mg, Si, S, Ar, Ca, Fe, Ni - 
#                      - Shull & Van Steenberg, 1982, ApJS, 48, 95
# Other ions of Na, Al - Landini & Monsignori Fossi, 1990, A&AS, 82, 229
# Other ions of F, P, Cl, K, Ti, Cr, Mn, Co (excluding Ti I-II, Cr I-IV,
# Mn I-V, Co I)        - Landini & Monsignori Fossi, 1991, A&AS, 91, 183
# All other species    - interpolations of the power-law fits
# see http://www.pa.uky.edu/~verner/fortran.html
##########################

19 13 2.448e-11 0.8052
20 13 3.760e-11 0.8100
21 13 5.870e-11 0.8150
22 13 7.972e-11 0.8206
23 13 1.130e-10 0.8270
24 13 1.470e-10 0.8325
25 13 1.908e-10 0.8372
27 13 2.976e-10 0.8406
28 13 3.630e-10 0.8400
29 13 4.280e-10 0.8390
30 13 4.940e-10 0.8390
14 14 5.900e-13 0.6010
15 14 1.294e-12 0.6766
16 14 2.700e-12 0.7450
17 14 5.165e-12 0.7893
18 14 9.120e-12 0.8110
19 14 1.513e-11 0.8186
20 14 2.400e-11 0.8200
21 14 3.960e-11 0.8220
22 14 5.518e-11 0.8245
23 14 8.370e-11 0.8280
24 14 1.123e-10 0.8313
25 14 1.525e-10 0.8342
26 14 2.000e-10 0.8360
27 14 2.537e-10 0.8364
28 14 3.160e-10 0.8360
29 14 3.780e-10 0.8360
30 14 4.410e-10 0.8350
15 15 9.761e-13 0.6209
16 15 1.800e-12 0.6860
17 15 3.320e-12 0.7579
18 15 6.030e-12 0.8120
19 15 1.063e-11 0.8269
20 15 1.800e-11 0.8200
21 15 3.130e-11 0.8180
22 15 4.451e-11 0.8153
23 15 6.830e-11 0.8200
24 15 9.206e-11 0.8246
25 15 1.250e-10 0.8302
26 15 1.640e-10 0.8340
27 15 2.093e-10 0.8349
28 15 2.630e-10 0.8340
29 15 3.170e-10 0.8330
30 15 3.700e-10 0.8320
16 16 4.100e-13 0.6300
17 16 1.248e-12 0.7663
18 16 3.230e-12 0.8690
19 16 6.384e-12 0.8790
20 16 1.070e-11 0.8400
21 16 1.920e-11 0.8210
22 16 2.765e-11 0.8012
23 16 4.650e-11 0.8060
24 16 6.539e-11 0.8099
25 16 9.539e-11 0.8202
26 16 1.330e-10 0.8280
27 16 1.769e-10 0.8299
28 16 2.290e-10 0.8280
29 16 2.810e-10 0.8260
30 16 3.330e-10 0.8240
17 17 1.010e-12 0.7380
18 17 1.950e-12 0.7520
19 17 3.766e-12 0.7662
20 17 7.080e-12 0.7800
21 17 1.430e-11 0.7920
22 17 2.152e-11 0.8038
23 17 3.740e-11 0.8120
24 17 5.335e-11 0.8207
25 17 7.807e-11 0.8260
26 17 1.090e-10 0.8290
27 17 1.459e-10 0.8296
28 17 1.910e-10 0.8290
29 17 2.360e-10 0.8280
30 17 2.810e-10 0.8280
18 18 3.770e-13 0.6510
19 18 1.304e-12 0.6753
20 18 3.960e-12 0.7000
21 18 1.130e-11 0.7240
22 18 1.857e-11 0.7484
23 18 3.170e-11 0.7680
24 18 4.479e-11 0.7883
25 18 6.106e-11 0.8020
26 18 8.130e-11 0.8100
27 18 1.098e-10 0.8118
28 18 1.500e-10 0.8100
29 18 1.900e-10 0.8080
30 18 2.300e-10 0.8060
19 19 2.762e-13 0.8023
20 19 6.780e-13 0.8000
21 19 2.330e-12 0.7980
22 19 3.983e-12 0.7955
23 19 1.150e-11 0.7940
24 19 1.906e-11 0.7919
25 19 3.620e-11 0.7907
26 19 6.050e-11 0.7900
27 19 8.818e-11 0.7898
28 19 1.190e-10 0.7900
29 19 1.500e-10 0.7900
30 19 1.810e-10 0.7900
20 20 1.120e-13 0.9000
21 20 6.540e-13 0.8670
22 20 1.196e-12 0.8344
23 20 5.330e-12 0.8090
24 20 9.471e-12 0.7846
25 20 2.169e-11 0.7683
26 20 4.120e-11 0.7590
27 20 6.409e-11 0.7570
28 20 8.910e-11 0.7590
29 20 1.140e-10 0.7610
30 20 1.390e-10 0.7630
21 21 1.170e-13 0.8980
22 21 5.330e-12 0.8640
23 21 1.060e-11 0.8300
24 21 1.580e-11 0.7960
25 21 2.100e-11 0.7620
26 21 2.620e-11 0.7280
27 21 2.822e-11 0.7280
28 21 3.040e-11 0.7280
29 21 3.260e-11 0.7280
30 21 3.480e-11 0.7280
22 22 1.220e-13 0.8970
23 22 3.870e-12 0.8480
24 22 7.610e-12 0.7980
25 22 1.140e-11 0.7480
26 22 1.510e-11 0.6990
27 22 1.626e-11 0.6990
28 22 1.750e-11 0.6990
29 22 1.870e-11 0.6990
30 22 2.000e-11 0.6990
23 23 1.270e-13 0.8950
24 23 2.680e-12 0.8240
25 23 5.240e-12 0.7530
26 23 7.800e-12 0.6820
27 23 8.402e-12 0.6820
28 23 9.050e-12 0.6820
29 23 9.700e-12 0.6820
30 23 1.030e-11 0.6820
24 24 1.320e-13 0.8940
25 24 1.730e-12 0.8200
26 24 3.320e-12 0.7460
27 24 3.575e-12 0.7460
28 24 3.580e-12 0.7460
29 24 3.580e-12 0.7460
30 24 3.590e-12 0.7460
25 25 1.370e-13 0.8920
26 25 1.020e-12 0.8430
27 25 1.278e-12 0.7682
28 25 1.600e-12 0.7000
29 25 1.920e-12 0.7000
30 25 2.240e-12 0.7000
26 26 1.420e-13 0.8910
27 26 4.459e-13 0.7897
28 26 1.400e-12 0.7000
29 26 1.500e-12 0.7000
30 26 1.600e-12 0.7000
27 27 2.510e-13 0.7950
28 27 1.000e-12 0.7000
29 27 1.000e-12 0.7000
30 27 1.100e-12 0.7000
28 28 3.600e-13 0.7000
29 28 3.600e-13 0.7000
30 28 3.600e-13 0.7000
29 29 3.600e-13 0.7000
30 29 3.600e-13 0.7000
30 30 3.600e-13 0.7000 
